student_code,name,email
SV471,Sinh Viên 471,sv471@example.com
SV472,Sinh Viên 472,sv472@example.com
SV473,Sinh Viên 473 (Updated),sv473@example.com
SV474,Sinh Viên 474,sv474@example.com
SV475,Sinh Viên 475,sv475@example.com
SV476,Sinh Viên 476 (Updated),sv476@example.com
SV477,Sinh Viên 477,sv477@example.com
SV478,Sinh Viên 478,sv478@example.com
SV479,Sinh Viên 479 (Updated),sv479@example.com
SV480,Sinh Viên 480,sv480@example.com
SV481,Sinh Viên 481,sv481@example.com
SV482,Sinh Viên 482 (Updated),sv482@example.com
SV483,Sinh Viên 483 (Updated),sv483@example.com
SV484,Sinh Viên 484,sv484@example.com
SV485,Sinh Viên 485,sv485@example.com
SV486,Sinh Viên 486 (Updated),sv486@example.com
SV487,Sinh Viên 487 (Updated),sv487@example.com
SV488,Sinh Viên 488,sv488@example.com
SV489,Sinh Viên 489 (Updated),sv489@example.com
SV490,Sinh Viên 490 (Updated),sv490@example.com
SV491,Sinh Viên 491 (Updated),sv491@example.com
SV492,Sinh Viên 492,sv492@example.com
SV493,Sinh Viên 493 (Updated),sv493@example.com
SV494,Sinh Viên 494,sv494@example.com
SV495,Sinh Viên 495,sv495@example.com
SV496,Sinh Viên 496,sv496@example.com
SV497,Sinh Viên 497,sv497@example.com
SV498,Sinh Viên 498,sv498@example.com
SV499,Sinh Viên 499,sv499@example.com
SV1000,Sinh Viên 1000,new_1000@example.com
SV1001,Sinh Viên 1001,new_1001@example.com
SV1002,Sinh Viên 1002,new_1002@example.com
SV1003,Sinh Viên 1003,new_1003@example.com
SV1004,Sinh Viên 1004,new_1004@example.com
SV1005,Sinh Viên 1005,new_1005@example.com
SV1006,Sinh Viên 1006,new_1006@example.com
SV1007,Sinh Viên 1007,new_1007@example.com
SV1008,Sinh Viên 1008,new_1008@example.com
SV1009,Sinh Viên 1009,new_1009@example.com
SV1010,Sinh Viên 1010,new_1010@example.com
SV1011,Sinh Viên 1011,new_1011@example.com
SV1012,Sinh Viên 1012,new_1012@example.com
SV1013,Sinh Viên 1013,new_1013@example.com
SV1014,Sinh Viên 1014,new_1014@example.com
SV1015,Sinh Viên 1015,new_1015@example.com
SV1016,Sinh Viên 1016,new_1016@example.com
SV1017,Sinh Viên 1017,new_1017@example.com
SV1018,Sinh Viên 1018,new_1018@example.com
SV1019,Sinh Viên 1019,new_1019@example.com
SV1020,Sinh Viên 1020,new_1020@example.com
SV1021,Sinh Viên 1021,new_1021@example.com
SV1022,Sinh Viên 1022,new_1022@example.com
SV1023,Sinh Viên 1023,new_1023@example.com
SV1024,Sinh Viên 1024,new_1024@example.com
SV1025,Sinh Viên 1025,new_1025@example.com
SV1026,Sinh Viên 1026,new_1026@example.com
SV1027,Sinh Viên 1027,new_1027@example.com
SV1028,Sinh Viên 1028,new_1028@example.com
SV1029,Sinh Viên 1029,new_1029@example.com
SV1030,Sinh Viên 1030,new_1030@example.com
SV1031,Sinh Viên 1031,new_1031@example.com
SV1032,Sinh Viên 1032,new_1032@example.com
SV1033,Sinh Viên 1033,new_1033@example.com
SV1034,Sinh Viên 1034,new_1034@example.com
SV1035,Sinh Viên 1035,new_1035@example.com
SV1036,Sinh Viên 1036,new_1036@example.com
SV1037,Sinh Viên 1037,new_1037@example.com
SV1038,Sinh Viên 1038,new_1038@example.com
SV1039,Sinh Viên 1039,new_1039@example.com
SV1040,Sinh Viên 1040,new_1040@example.com
SV1041,Sinh Viên 1041,new_1041@example.com
SV1042,Sinh Viên 1042,new_1042@example.com
SV1043,Sinh Viên 1043,new_1043@example.com
SV1044,Sinh Viên 1044,new_1044@example.com
SV1045,Sinh Viên 1045,new_1045@example.com
SV1046,Sinh Viên 1046,new_1046@example.com
SV1047,Sinh Viên 1047,new_1047@example.com
SV1048,Sinh Viên 1048,new_1048@example.com
SV1049,Sinh Viên 1049,new_1049@example.com
